Date,Open,High,Low,Close,Adj Close,Volume
2023-04-21,1381.150024,1387.819946,1378.099976,1387.709961,1387.709961,176743400
2023-04-24,1386.079956,1388.530029,1380.949951,1386.400024,1386.400024,150835100
2023-04-25,1384.920044,1384.920044,1373.790039,1376.869995,1376.869995,169649200
2023-04-26,1375.270020,1375.270020,1358.709961,1365.770020,1365.770020,199265900
2023-04-27,1365.339966,1371.400024,1361.339966,1368.699951,1368.699951,181013300
2023-04-28,1369.119995,1373.189941,1356.199951,1372.900024,1372.900024,208928800
2023-05-02,1373.310059,1376.589966,1352.150024,1353.219971,1353.219971,364082900
2023-05-03,1353.540039,1361.079956,1353.540039,1355.390015,1355.390015,298858700
2023-05-04,1355.089966,1356.469971,1344.500000,1350.260010,1350.260010,364074100
2023-05-05,1351.369995,1369.010010,1351.369995,1368.819946,1368.819946,358443300
2023-05-08,1369.069946,1375.750000,1367.819946,1372.869995,1372.869995,222789400
2023-05-09,1372.060059,1372.060059,1357.160034,1363.099976,1363.099976,275120600
2023-05-10,1362.569946,1367.640015,1356.810059,1360.260010,1360.260010,329415500
2023-05-11,1360.689941,1371.069946,1352.739990,1360.839966,1360.839966,320912400
2023-05-12,1360.790039,1373.050049,1360.790039,1366.849976,1366.849976,275129400
2023-05-15,1366.890015,1373.890015,1365.199951,1369.540039,1369.540039,221813900
2023-05-16,1369.150024,1372.189941,1362.670044,1366.420044,1366.420044,259892700
2023-05-17,1366.060059,1369.439941,1358.810059,1366.810059,1366.810059,259457100
2023-05-18,1366.660034,1378.989990,1366.660034,1374.469971,1374.469971,295925600
2023-05-19,1374.780029,1386.640015,1374.780029,1380.619995,1380.619995,343420300
2023-05-22,1379.689941,1381.489990,1374.709961,1378.989990,1378.989990,280713800
2023-05-23,1378.510010,1378.510010,1366.469971,1366.469971,1366.469971,235794000
2023-05-24,1365.079956,1365.079956,1339.640015,1344.500000,1344.500000,389323200
2023-05-25,1343.949951,1349.030029,1339.329956,1340.949951,1340.949951,308289300
2023-05-26,1341.660034,1360.760010,1338.739990,1357.770020,1357.770020,294848400
2023-05-29,1357.739990,1362.880005,1352.219971,1353.390015,1353.390015,164844400
2023-05-30,1352.609985,1353.729980,1336.219971,1338.140015,1338.140015,296475300
2023-05-31,1336.540039,1336.540039,1316.280029,1318.319946,1318.319946,972706600
2023-06-01,1319.430054,1332.869995,1319.430054,1328.300049,1328.300049,291311900
2023-06-02,1328.310059,1352.280029,1328.310059,1351.290039,1351.290039,299136200
2023-06-05,1351.239990,1355.349976,1341.359985,1342.410034,1342.410034,257467500
2023-06-06,1342.180054,1344.560059,1334.750000,1343.270020,1343.270020,262248000
2023-06-07,1343.119995,1347.050049,1337.900024,1344.060059,1344.060059,270204100
2023-06-08,1342.119995,1348.410034,1340.069946,1346.989990,1346.989990,278166900
2023-06-09,1347.819946,1350.640015,1340.619995,1345.810059,1345.810059,230870600
2023-06-12,1346.459961,1356.089966,1346.459961,1350.479980,1350.479980,255427900
2023-06-13,1350.829956,1363.699951,1350.790039,1361.510010,1361.510010,287352700
2023-06-14,1361.400024,1372.349976,1360.099976,1368.319946,1368.319946,333024000
2023-06-15,1367.079956,1367.699951,1357.300049,1365.989990,1365.989990,286509500
2023-06-16,1366.280029,1379.989990,1366.280029,1376.189941,1376.189941,705549200
2023-06-19,1374.250000,1374.250000,1362.359985,1363.979980,1363.979980,262966900
2023-06-20,1363.349976,1363.579956,1354.900024,1355.810059,1355.810059,268407200
2023-06-21,1355.819946,1357.579956,1348.589966,1350.640015,1350.640015,271445500
2023-06-22,1347.270020,1347.270020,1332.560059,1344.400024,1344.400024,270192900
2023-06-23,1343.319946,1343.319946,1329.939941,1334.609985,1334.609985,292558100
2023-06-26,1335.079956,1342.290039,1324.550049,1338.250000,1338.250000,249735100
2023-06-27,1341.459961,1348.939941,1335.229980,1344.319946,1344.319946,248681800
2023-06-28,1346.150024,1358.109985,1346.150024,1356.630005,1356.630005,238364800
2023-06-29,1356.989990,1364.400024,1356.140015,1361.130005,1361.130005,277486200
2023-06-30,1361.699951,1376.619995,1361.160034,1373.750000,1373.750000,388247200
2023-07-03,1374.550049,1382.109985,1374.550049,1376.199951,1376.199951,274034800
2023-07-04,1376.229980,1380.650024,1376.010010,1376.010010,1376.010010,197322500
2023-07-05,1375.209961,1375.209961,1362.069946,1364.280029,1364.280029,269359300
2023-07-06,1363.939941,1363.939941,1323.650024,1326.449951,1326.449951,380888000
2023-07-07,1327.500000,1338.170044,1320.479980,1332.900024,1332.900024,262560300
2023-07-10,1332.770020,1342.760010,1327.180054,1337.930054,1337.930054,189141200
2023-07-11,1339.079956,1352.859985,1339.079956,1348.979980,1348.979980,209867400
2023-07-12,1350.020020,1373.020020,1350.020020,1370.869995,1370.869995,303704100
2023-07-13,1371.050049,1385.760010,1371.050049,1380.119995,1380.119995,287698100
2023-07-14,1379.869995,1387.109985,1378.550049,1381.400024,1381.400024,247975700
2023-07-17,1379.829956,1379.829956,1367.660034,1370.219971,1370.219971,186362300
2023-07-18,1369.420044,1376.140015,1367.209961,1374.729980,1374.729980,216024300
2023-07-19,1376.560059,1384.520020,1376.560059,1377.670044,1377.670044,274555100
2023-07-20,1376.540039,1383.099976,1372.069946,1381.640015,1381.640015,302074600
2023-07-21,1382.410034,1388.589966,1380.170044,1388.489990,1388.489990,287161900
2023-07-24,1388.239990,1388.430054,1381.150024,1387.250000,1387.250000,235105900
2023-07-25,1387.599976,1394.099976,1387.579956,1390.510010,1390.510010,232025800
2023-07-26,1390.160034,1390.160034,1365.260010,1375.219971,1375.219971,315934500
2023-07-27,1375.329956,1402.670044,1375.329956,1401.479980,1401.479980,391145700
2023-07-28,1400.680054,1403.500000,1391.239990,1400.609985,1400.609985,417490500
2023-07-31,1400.060059,1406.010010,1397.319946,1401.339966,1401.339966,327325200
2023-08-01,1400.829956,1400.989990,1386.739990,1387.709961,1387.709961,296636200
2023-08-02,1386.589966,1386.589966,1365.290039,1367.780029,1367.780029,326337200
2023-08-03,1366.869995,1366.869995,1351.849976,1361.189941,1361.189941,314676100
2023-08-04,1361.550049,1370.859985,1358.119995,1369.689941,1369.689941,297339500
2023-08-07,1369.479980,1371.430054,1360.800049,1368.680054,1368.680054,208548400
2023-08-08,1367.530029,1367.530029,1349.130005,1357.319946,1357.319946,597186900
2023-08-09,1358.359985,1376.709961,1358.359985,1367.550049,1367.550049,374827300
2023-08-10,1368.310059,1388.400024,1368.310059,1382.880005,1382.880005,294858300
2023-08-11,1381.939941,1381.939941,1361.310059,1364.890015,1364.890015,233155200
